customer_id,name,age,transaction_count,total_online_order,total_cash_order,total_standard_cost,max_transaction_amount,min_transaction_amount,average_transaction_amount
720,"Darrel Canet",91,10,0,10,2867.15,$820.78,"$1,167.18",286.715000
1092,"Katlin Creddon",87,5,0,5,1333.80,$818.01,"$1,082.36",266.760000
3410,"Merrili Brittin",82,3,0,3,1234.05,$667.40,$44.71,411.350000
658,"Donn Bonnell",79,5,0,5,2709.14,$954.82,$215.14,541.828000
2413,"Abbey Murrow",79,7,0,7,2564.17,$820.78,"$1,580.47",366.310000
1,"Laraine Medendorp",69,11,0,11,4535.94,$829.65,"$1,531.42",412.358182
187,"Pincas Ather",69,7,0,7,1515.33,$74.51,"$1,167.18",216.475714
220,"Jeniffer Apark",69,6,0,6,1988.40,$764.96,"$1,167.18",331.400000
255,"Keeley Kruger",69,11,0,11,4370.75,$993.66,"$1,234.29",397.340909
366,"Constance Ucchino",69,6,0,6,1972.01,$795.10,"$1,203.40",328.668333
467,"Welbie Rockliffe",69,6,0,6,3215.07,$933.84,$205.36,535.845000
719,"Pattin Weathey",69,8,0,8,2613.96,$795.10,"$1,167.18",326.745000
846,"Alvan Rebichon",69,3,0,3,725.86,$464.72,"$1,531.42",241.953333
984,"Luciano Weddup",69,8,0,8,3914.29,$954.82,$154.40,489.286250
1177,"Bobbette Pozzi",69,8,0,8,1823.53,$525.33,"$1,105.75",227.941250
1243,"Robbert Blakey",69,10,0,10,3786.25,$874.90,"$1,234.29",378.625000
1565,"Jay Janiszewski",69,2,0,2,796.10,$795.10,"$1,105.75",398.050000
1905,"Corabelle ",69,9,0,9,1716.18,$84.99,"$1,516.13",190.686667
1949,"Onida Cockshot",69,7,0,7,4960.90,$950.52,$400.91,708.700000
2019,"Neda Perkis",69,9,0,9,3020.02,$99.59,"$1,531.42",335.557778
2178,"Veriee Colthard",69,4,0,4,655.50,$528.43,"$1,167.18",163.875000
2208,"Lavena Embling",69,6,0,6,3058.63,$933.84,$205.36,509.771667
2283,"Gaspar Janaway",69,7,0,7,1473.55,$57.74,"$1,105.75",210.507143
2486,"Alaine Halbord",69,2,0,2,955.82,$954.82,"$1,105.75",477.910000
2495,"Gwenore Suero",69,8,0,8,3264.33,$818.01,$131.92,408.041250
2529,"Ben Laidler",69,7,0,7,1992.56,$733.58,"$1,167.18",284.651429
2599,"Pauly Eilles",69,7,0,7,3450.21,$826.51,$125.07,492.887143
2610,"Arliene Bartolijn",69,8,0,8,2900.31,$874.90,$108.76,362.538750
2746,"Carmelia Egle of Germany",69,3,0,3,739.88,$363.25,$161.60,246.626667
2813,"Lillian Crookall",69,5,0,5,3115.35,$950.52,$137.90,623.070000
2959,"Max Gonthier",69,3,0,3,1690.31,$954.82,$136.73,563.436667
3100,"Peggy Wrankling",69,4,0,4,1660.30,$667.40,$161.60,415.075000
3103,"Shaylah Hatchell",69,8,0,8,4043.30,$993.66,$211.37,505.412500
3259,"Rabi ",69,2,0,2,606.93,$84.99,$521.94,303.465000
3370,"Brant Follis",69,7,0,7,3390.67,$954.82,$101.58,484.381429
3393,"Henrietta Olexa",69,5,0,5,2800.72,$829.65,$173.18,560.144000
3455,"Coop Skey",69,6,0,6,2907.65,$950.52,$136.73,484.608333
3471,"Brita Afonso",69,4,0,4,1618.63,$829.65,"$1,105.75",404.657500
91,"Dylan Meaker",68,8,0,8,2824.03,$84.99,$161.60,353.003750
141,"Townsend Trobe",68,3,0,3,1915.63,$874.90,$363.25,638.543333
230,"Maegan Scyone",68,11,0,11,4121.32,$99.59,"$1,082.36",374.665455
269,"Zacherie Grindley",68,5,0,5,2288.16,$954.82,"$1,259.36",457.632000
371,"Pernell Favelle",68,5,0,5,1855.28,$709.48,$108.76,371.056000
512,"Sigfried Semken",68,4,0,4,1619.50,$829.65,"$1,479.11",404.875000
534,"Madel Palffrey",68,8,0,8,3413.86,$829.51,$108.76,426.732500
686,"Hallie Le feaver",68,5,0,5,1467.70,$748.90,"$1,082.36",293.540000
794,"Scott Ommundsen",68,7,0,7,3584.07,$933.84,$388.92,512.010000
1012,"Anna-diane Preddle",68,4,0,4,2390.23,$863.95,$141.40,597.557500
1015,"Toiboid Sorrel",68,6,0,6,3380.45,$954.82,"$1,580.47",563.408333
1143,"Goraud Boissieux",68,5,0,5,1117.58,$874.90,"$1,203.40",223.516000
1541,"Dynah Grimes",68,5,0,5,1783.91,$84.99,"$1,203.40",356.782000
1610,"Valaree Chisolm",68,5,0,5,3178.46,$954.82,$44.71,635.692000
1710,"Matilde MacKeeg",68,4,0,4,1386.20,$762.63,"$1,043.77",346.550000
1739,"Burnaby Stiffkins",68,4,0,4,1819.46,$707.40,$376.84,454.865000
1807,"Pollyanna Serjeantson",68,6,0,6,2783.87,$954.82,"$1,531.42",463.978333
1836,"Rochella Harce",68,2,0,2,1612.85,$863.95,$748.90,806.425000
1978,"Marge Skerm",68,3,0,3,583.26,$56.93,"$1,234.29",194.420000
2050,"Opal Costa",68,4,0,4,2384.10,$954.82,$234.43,596.025000
2114,"Erick Caveill",68,6,0,6,1950.05,$748.90,"$1,759.85",325.008333
2361,"Jeannette Cerman",68,7,0,7,1983.95,$612.88,"$1,479.11",283.421429
2421,"Marilee Garbott",68,6,0,6,1345.22,$933.84,"$1,082.36",224.203333
2506,"Arlana Ferrick",68,4,0,4,1957.44,$826.51,$234.43,489.360000
